Rank;Name;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;Platform_2600;Platform_3DO;Platform_3DS;Platform_DC;Platform_DS;Platform_GB;Platform_GBA;Platform_GC;Platform_GEN;Platform_GG;Platform_N64;Platform_NES;Platform_NG;Platform_PC;Platform_PCFX;Platform_PS;Platform_PS2;Platform_PS3;Platform_PS4;Platform_PSP;Platform_PSV;Platform_SAT;Platform_SCD;Platform_SNES;Platform_TG16;Platform_WS;Platform_Wii;Platform_WiiU;Platform_X360;Platform_XB;Platform_XOne
1;Wii Sports;2006,0;10;Nintendo;1,0;1,0;0,37;0,8;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0
2;Super Mario Bros,;1985,0;4;Nintendo;0,7;0,12;0,67;0,07;0,49;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
3;Mario Kart Wii;2008,0;6;Nintendo;0,38;0,44;0,37;0,31;0,43;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0
4;Wii Sports Resort;2009,0;10;Nintendo;0,38;0,38;0,32;0,28;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0
5;Pokemon Red/Pokemon Blue;1996,0;7;Nintendo;0,27;0,31;1,0;0,09;0,38;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
6;Tetris;1989,0;5;Nintendo;0,56;0,08;0,41;0,05;0,37;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
7;New Super Mario Bros,;2006,0;4;Nintendo;0,27;0,32;0,64;0,27;0,36;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
8;Wii Play;2006,0;3;Nintendo;0,34;0,32;0,29;0,27;0,35;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0
9;New Super Mario Bros, Wii;2009,0;4;Nintendo;0,35;0,24;0,46;0,21;0,35;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0
10;Duck Hunt;1984,0;8;Nintendo;0,65;0,02;0,03;0,04;0,34;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
